Time,Times,Borg,L,R
1698.409429,1,0,200,1250
1700.320536,2,0,150,1150
1702.306814,3,0,200,1100
1704.376003,4,0,100,1100
1706.47217,5,0,200,1200
1708.2863,6,0,200,1150
1710.07679,7,0,250,1200
1712.035199,8,1,300,1250
1713.98593,9,1,200,1150
1716.083677,10,1,200,1050
1717.883548,11,1,200,1100
1719.838343,12,1,200,1200
1721.791569,13,1,150,1100
1723.628954,14,2,200,1300
1725.70401,15,2,300,1250
1727.470369,16,2,300,1300
1729.42261,17,2,200,1200
1731.396369,18,2,200,1100
1733.316374,19,2,200,1250
1735.282136,20,2,250,1250
1737.235954,21,3,200,1150
1739.17675,22,3,200,1100
1741.117097,23,3,200,1250
1743.106059,24,3,200,1300
1745.034036,25,3,350,1300
1747.282789,26,3,200,1150
1749.071219,27,3,200,1250
1751.026094,28,4,250,1250
1753.121562,29,4,150,1100
1755.064286,30,4,150,1200
1757.054936,31,4,250,1250
1758.971697,32,4,200,1250
1760.93581,33,4,250,1300
1763.044637,34,4,200,1300
1765.14972,35,5,150,1050
1767.083939,36,5,200,1200
1769.037657,37,5,200,1200
1771.011534,38,5,200,1250
1772.928981,39,5,200,1250
1774.876412,40,5,200,1200
1776.8194,41,6,250,1230
1778.925661,42,6,230,1250
1780.886709,43,6,100,1200
1782.818618,44,6,100,1150
1784.773529,45,7,200,1200
1786.886297,46,7,100,1100
1788.818077,47,7,200,1200
1790.924147,48,7,200,1300
1793.167186,49,8,120,1200
1795.30457,50,8,100,1200
1797.23632,51,8,100,1200
1799.169961,52,8,300,1430
1801.424634,53,9,300,1300
1803.667233,54,9,200,1300
1805.634427,55,9,300,1500
1808.032153,56,9,300,1450
1810.114576,57,9,300,1450
1812.578696,58,9,250,1450
1814.79283,59,9,200,1500
1817.189782,60,9,300,1650
1819.717657,61,9,300,1500
1822.150158,62,9,,
