Time,Times,Borg,L,R
1041.301236,1,0,100,1050
1043.248551,2,0,50,950
1045.192755,3,0,100,1050
1047.158952,4,0,200,1100
1049.388153,5,0,100,1000
1051.190411,6,0,200,1200
1053.17317,7,1,500,1400
1055.544142,8,1,200,1200
1057.789636,9,2,200,1100
1059.891832,10,2,250,1150
1062.014519,11,2,250,1100
1064.101231,12,2,200,1200
1066.194521,13,2,300,1300
1068.445321,14,2,200,1100
1070.710589,15,2,250,1100
1072.641504,16,2,350,1250
1074.895684,17,2,200,1250
1077.042139,18,3,300,1300
1079.095698,19,3,350,1400
1081.500547,20,3,200,1100
1083.605762,21,3,200,1200
1085.860914,22,3,200,1200
1087.957501,23,3,350,1350
1090.339196,24,3,200,1200
1092.602329,25,4,300,1300
1095.041442,26,4,300,1200
1097.091719,27,4,250,1150
1099.195892,28,4,300,1300
1101.452943,29,4,200,1150
1103.701059,30,4,250,1200
1105.801785,31,4,350,1250
1108.04129,32,4,300,1200
1110.137585,33,5,350,1300
1112.39433,34,5,300,1100
1114.53456,35,5,300,1230
1116.739676,36,5,300,1200
1119.012857,37,5,210,1250
1121.255539,38,5,300,1300
1123.491073,39,5,350,1240
1125.950615,40,5,250,1250
1127.985881,41,5,300,1200
1130.445852,42,6,200,1050
1132.535172,43,6,200,1200
1134.755649,44,6,200,1200
1138.34873,45,6,200,1100
1140.456455,46,6,350,1300
1142.986107,47,6,250,1250
1145.241832,48,7,380,1450
1147.661152,49,7,400,1350
1150.052388,50,7,350,1350
1152.448988,51,7,350,1300
1154.687053,52,7,500,1500
1157.244905,53,7,400,1450
1159.807713,54,8,450,1350
1162.201653,55,8,400,1350
1164.444417,56,8,400,1400
1166.84894,57,8,400,1350
1169.240324,58,8,350,1350
1171.540159,59,8,550,1520
1174.058936,60,9,300,1420
1176.448265,61,9,400,1350
1178.903117,62,9,480,1450
1181.395461,63,9,250,1350
1183.948072,64,9,350,1450
1186.493996,65,9,370,1400
1188.89148,66,9,430,1500
1191.457003,67,9,500,1700
1194.141861,68,9,450,1700
1196.878069,69,9,400,1600
1199.403436,70,9,550,1700
1202.14859,71,9,550,1600
1204.787337,72,9,350,1750
1207.527845,73,9,,
