Time,Times,Borg,L,R
7276.6945,1,0,0,1100
7278.772918,2,0,100,1100
7280.875326,3,0,150,1150
7282.998731,4,0,200,1250
7285.110994,5,0,300,1350
7287.329988,6,0,250,1250
7289.572727,7,1,200,1300
7291.680016,8,1,300,1350
7293.93476,9,1,250,1400
7296.184131,10,1,250,1300
7298.442969,11,1,250,1350
7300.699222,12,1,200,1300
7302.944261,13,2,150,1300
7305.178055,14,2,200,1300
7307.460808,15,2,200,1400
7309.675411,16,2,350,1500
7312.108123,17,2,250,1400
7314.656981,18,3,300,1400
7316.77858,19,3,1150,2150
7319.866875,20,3,300,1400
7322.117246,21,3,450,1500
7324.544944,22,3,280,1300
7326.812889,23,4,350,1450
7329.183057,24,4,400,1500
7331.748092,25,4,400,1550
7334.183045,26,4,450,1500
7336.772068,27,4,300,1400
7339.230429,28,5,300,1400
7341.525546,29,5,400,1600
7343.875116,30,5,400,1650
7346.331471,31,5,400,1550
7348.670305,32,5,500,1600
7351.221952,33,5,300,1450
7353.771643,34,5,400,1600
7356.319621,35,6,500,1650
7358.91066,36,7,600,1700
7361.585568,37,7,200,1400
7364.12482,38,8,500,1700
7367.034726,39,8,500,1800
7369.828103,40,8,700,2100
7372.988952,41,8,500,1900
7375.822556,42,9,600,1900
7379.118942,43,9,500,1900
7382.129668,44,9,550,1950
7385.430001,45,9,300,1800
7388.721421,46,9,400,1750
7392.040457,47,9,500,2000
7395.3238,48,9,550,2000
7398.625513,49,9,600,1950
7401.930053,50,9,500,1900
7405.087195,51,9,400,1800
7408.082762,52,9,550,1900
7411.125226,53,9,,
