Time,Times,Borg,L,R
27556.35408,1,0,300,1200
27558.6286,2,0,350,1350
27560.83893,3,1,250,1100
27562.94359,4,1,350,1300
27565.19495,5,1,230,1200
27567.31906,6,1,200,1300
27569.54842,7,2,350,1100
27571.80674,8,2,200,1100
27574.03945,9,2,350,1300
27576.18068,10,2,380,1400
27578.39086,11,2,350,1390
27580.66255,12,2,420,1400
27583.06109,13,3,300,1250
27584.99626,14,3,490,1470
27587.55585,15,3,300,1350
27589.99374,16,4,380,1400
27592.30366,17,4,450,1400
27594.6196,18,4,450,1450
27597.14702,19,5,300,1300
27599.26957,20,5,500,1500
27601.80709,21,5,400,1400
27604.2005,22,5,450,1450
27606.60467,23,5,400,1400
27608.84069,24,6,600,1600
27611.38704,25,6,400,1500
27613.64203,26,6,600,1750
27616.35422,27,6,500,1650
27618.89212,28,6,500,1550
27621.44327,29,7,500,1700
27624.18915,30,7,500,1650
27626.85906,31,7,400,1550
27629.25959,32,7,400,1600
27631.80557,33,7,450,1600
27634.65881,34,7,300,1550
27637.351,35,8,300,1430
27639.88411,36,8,250,1500
27642.59323,37,8,200,1350
27645.01083,38,8,400,1650
27647.54611,39,8,600,1800
27650.40136,40,8,400,1600
27652.97138,41,8,400,1700
27655.65762,42,8,350,1650
27658.4963,43,9,350,1650
27661.19659,44,9,350,1650
27663.7523,45,9,450,1750
27666.60478,46,9,300,1850
27669.6286,47,9,350,1550
27672.1807,48,9,400,1750
27675.04441,49,9,300,1850
27677.876,50,9,450,2050
27680.99677,51,9,400,1750
27683.55118,52,9,600,2050
27686.55208,53,9,500,1900
27689.38889,54,9,500,2000
27692.74429,55,9,350,1750
27695.55536,56,9,,
