Time,Times,Borg,L,R
2495.717842,1,0,200,1200
2497.981183,2,0,100,1050
2500.071482,3,0,50,1050
2502.316218,4,0,50,1000
2504.305334,5,0,200,1150
2506.564355,6,0,200,1150
2508.480937,7,0,0,1050
2510.614253,8,0,100,1050
2512.679816,9,0,0,900
2514.626005,10,0,200,1100
2516.722507,11,1,200,1100
2519.029386,12,1,200,1100
2521.068474,13,1,100,1100
2523.321963,14,1,150,1050
2525.417577,15,1,100,1000
2527.700039,16,1,100,1000
2529.940112,17,2,150,1100
2531.884346,18,2,250,1200
2533.964409,19,2,300,1250
2536.369024,20,2,100,900
2538.486342,21,2,150,1100
2540.596493,22,2,150,1150
2542.665934,23,3,200,1150
2544.92517,24,3,150,1100
2546.717177,25,3,150,1150
2548.8407,26,3,150,1200
2551.212697,27,3,50,1050
2553.320588,28,4,50,1050
2555.415227,29,4,50,1050
2557.513789,30,4,50,1050
2559.640913,31,4,100,1100
2561.871126,32,4,100,1100
2564.292196,33,4,150,1100
2566.528707,34,4,50,1000
2568.623878,35,4,50,950
2570.56785,36,5,100,1000
2572.697234,37,5,150,1000
2574.915734,38,5,50,1050
2577.076569,39,5,200,1150
2579.295226,40,5,150,1000
2581.514055,41,5,100,1050
2583.778573,42,6,100,900
2585.735946,43,6,200,950
2587.822561,44,6,200,1050
2589.950514,45,6,150,1100
2592.185555,46,6,50,950
2594.260525,47,7,200,1050
2596.383925,48,7,150,1000
2598.623002,49,7,100,1000
2600.709717,50,7,100,1000
2602.970155,51,8,150,900
2604.929247,52,8,150,1050
2606.870352,53,8,200,1100
2609.127377,54,8,100,950
2611.071964,55,8,200,1200
2613.320073,56,9,150,1000
2615.416011,57,9,150,1000
2617.514581,58,9,100,1100
2619.638186,59,9,250,1100
2621.751666,60,9,300,1150
2624.128849,61,9,100,950
2626.079724,62,9,200,1100
2628.315206,63,9,150,1000
2630.276259,64,9,300,1230
2632.588453,65,9,300,1300
2634.918811,66,9,100,1100
2637.027271,67,9,350,1250
2639.417708,68,9,,
