Time,Times,Borg,L,R
18436.85701,1,1,400,1350
18439.22514,2,2,400,1350
18441.49026,3,2,100,1150
18443.46469,4,3,350,1200
18445.55814,5,3,250,1250
18447.92795,6,3,200,1200
18450.08714,7,3,100,900
18451.88556,8,4,350,1250
18454.12386,9,4,350,1300
18456.22296,10,4,400,1250
18458.46869,11,4,350,1250
18460.53327,12,4,450,1450
18462.74558,13,4,450,1350
18464.99881,14,4,450,1450
18467.42571,15,4,400,1300
18469.3687,16,4,450,1300
18471.60474,17,4,500,1500
18473.87298,18,4,400,1300
18476.0255,19,5,500,1500
18478.61472,20,5,300,1300
18480.79049,21,5,350,1300
18482.75382,22,6,300,1250
18484.83491,23,6,300,1350
18486.91274,24,6,350,1500
18489.18947,25,6,400,1400
18491.46783,26,7,400,1350
18493.86154,27,7,300,1350
18495.80297,28,7,500,1550
18498.20153,29,7,350,1500
18500.25916,30,7,400,1450
18502.3722,31,7,550,1600
18504.59578,32,7,450,1500
18506.93075,33,8,450,1500
18509.12032,34,8,350,1400
18511.3838,35,8,300,1350
18513.65853,36,8,400,1500
18516.01142,37,8,250,1390
18518.29627,38,8,300,1450
18520.53851,39,9,300,1400
18522.76096,40,9,200,1350
18525.08953,41,9,500,1500
18527.45431,42,9,300,1350
18529.53335,43,9,300,1500
18532.21831,44,9,200,1400
18534.3199,45,9,200,1400
18536.59153,46,9,350,1600
18539.16838,47,9,50,1300
18541.35142,48,9,300,1500
18543.64706,49,9,500,1750
18546.17262,50,9,450,1500
18548.56767,51,9,,
