Time,Times,Borg,L,R
2034.658599,1,0,300,1200
2036.752782,2,0,220,950
2038.577101,3,0,300,1100
2040.498983,4,0,300,1050
2042.485321,5,0,350,1080
2044.414316,6,0,350,1000
2046.667585,7,1,190,900
2048.322154,8,1,300,1000
2050.254665,9,1,250,900
2052.218722,10,1,200,900
2054.001469,11,1,300,1000
2055.957849,12,1,200,900
2057.76169,13,1,350,1020
2059.857491,14,1,200,900
2061.645681,15,1,300,950
2063.602375,16,2,200,930
2065.404418,17,2,350,1050
2067.511374,18,2,150,800
2069.345042,19,2,250,1100
2071.402179,20,2,180,800
2073.202555,21,2,250,930
2075.22242,22,2,200,950
2076.993392,23,2,300,1150
2078.916762,24,3,250,950
2080.86703,25,3,250,950
2082.956787,26,3,100,800
2085.135037,27,3,100,950
2087.0422,28,3,100,850
2088.826106,29,4,200,900
2090.759523,30,4,250,900
2092.69846,31,4,250,950
2094.73269,32,4,420,1100
2096.63901,33,4,310,1100
2098.571651,34,4,450,1200
2100.682215,35,4,400,1100
2103.214661,36,5,0,750
2104.879795,37,5,350,1150
2106.964477,38,5,320,1120
2109.067476,39,5,350,1150
2111.031949,40,5,550,1340
2113.246946,41,5,400,1200
2115.389732,42,5,450,1200
2117.491948,43,6,400,1100
2119.573283,44,6,390,1100
2121.675159,45,6,300,1100
2123.925534,46,6,200,1000
2125.89598,47,6,450,1250
2127.838837,48,6,500,1250
2130.056773,49,7,350,1150
2132.011068,50,7,530,1330
2134.258631,51,7,450,1200
2136.380248,52,7,500,1350
2138.63025,53,7,400,1200
2140.863649,54,7,400,1200
2143.121283,55,8,300,1140
2145.240832,56,8,420,1370
2147.455229,57,8,490,1300
2149.874216,58,8,500,1350
2152.282253,59,9,350,1330
2154.670054,60,9,300,1200
2156.837146,61,9,400,1400
2159.160714,62,9,400,1300
2161.410289,63,9,400,1300
2163.675479,64,9,350,1250
2165.926441,65,9,300,1300
2168.304953,66,9,200,1150
2170.555645,67,9,300,1200
2172.808346,68,9,300,1300
2175.057226,69,9,400,1400
2177.470952,70,9,300,1350
2179.869588,71,9,250,1450
2182.70809,72,9,,
