Time,Times,Borg,L,R
1416.148411,1,0,100,1000
1417.947474,2,0,300,1150
1420.09397,3,0,100,1050
1421.987647,4,0,200,1100
1423.943088,5,0,200,1090
1425.734959,6,0,300,1200
1427.991142,7,0,150,1000
1429.796936,8,0,150,1000
1431.586568,9,0,350,1200
1433.828219,10,0,250,1100
1435.63394,11,1,300,1200
1437.750835,12,1,200,1080
1439.685283,13,1,350,1200
1441.627996,14,1,300,1150
1443.610101,15,1,350,1100
1445.687504,16,1,330,1150
1447.788967,17,2,150,1050
1449.730653,18,2,200,1100
1452.051061,19,2,150,950
1453.792222,20,2,200,1050
1455.780772,21,2,300,1100
1457.692466,22,2,350,1050
1459.798295,23,2,350,1100
1461.90956,24,3,250,1150
1463.895059,25,3,480,1300
1465.96161,26,3,300,1100
1468.028145,27,3,200,950
1469.999924,28,4,390,1200
1471.936221,29,4,290,1120
1473.896596,30,4,300,1050
1476.013872,31,4,200,1100
1477.940331,32,4,350,1150
1480.044606,33,4,200,990
1481.980868,34,4,190,950
1483.783914,35,5,350,1140
1485.776821,36,5,400,1250
1487.839661,37,5,300,1050
1489.786603,38,5,380,1100
1491.782374,39,5,390,1200
1493.995378,40,6,250,1100
1495.84516,41,6,400,1200
1497.884142,42,6,290,1050
1499.840696,43,6,300,1100
1501.785099,44,6,400,1050
1504.032547,45,7,250,1080
1506.039655,46,7,300,1100
1507.978105,47,7,400,1080
1510.060105,48,7,250,1050
1511.998564,49,7,350,1200
1514.119263,50,7,300,1000
1516.069989,51,7,300,1120
1518.191739,52,7,300,1020
1520.416701,53,8,300,1050
1522.365184,54,8,300,1100
1524.450906,55,8,250,1000
1526.535243,56,8,300,1080
1528.639856,57,8,400,1240
1530.887117,58,9,350,1200
1533.000003,59,9,370,1300
1535.115886,60,9,500,1380
1537.5067,61,9,350,1300
1539.752641,62,9,350,1300
1542.001301,63,9,400,1400
1544.427301,64,9,300,1300
1546.81327,65,9,400,1400
1548.916937,66,9,400,1350
1551.133646,67,9,400,1400
1553.688228,68,9,300,1280
1555.797943,69,9,400,1400
1558.223491,70,9,,
