Time,Times,Borg,L,R
1177.887709,1,0,200,900
1179.847275,2,0,150,800
1181.68303,3,0,250,950
1183.76023,4,0,250,1000
1185.572916,5,0,200,1050
1187.70002,6,0,200,1000
1189.606333,7,0,200,1000
1191.558705,8,1,300,1200
1193.819846,9,1,200,1200
1195.90967,10,1,150,900
1197.868854,11,1,250,1200
1199.948366,12,1,300,1100
1202.049724,13,2,150,1100
1204.003958,14,2,250,1100
1206.103229,15,2,150,1100
1208.055761,16,2,200,1100
1210.150292,17,2,200,1050
1212.098408,18,2,250,1200
1214.041671,19,3,300,1200
1216.178474,20,3,300,1200
1218.25686,21,3,150,1100
1220.209193,22,3,200,1000
1222.305649,23,3,200,1100
1224.450061,24,3,280,1100
1226.355703,25,4,250,1250
1228.51737,26,4,200,1200
1230.552789,27,4,200,1100
1232.548787,28,4,300,1200
1234.747542,29,4,200,1200
1237.176086,30,5,280,1200
1239.102611,31,5,200,1000
1241.063646,32,5,400,1300
1243.291851,33,5,250,1250
1245.437127,34,5,400,1200
1247.510778,35,5,350,1150
1249.606257,36,6,450,1300
1251.858842,37,6,400,1300
1254.101512,38,6,350,1150
1256.196697,39,6,450,1300
1258.484061,40,6,350,1150
1260.548628,41,6,500,1300
1262.977895,42,6,300,1400
1265.057532,43,7,450,1400
1267.303423,44,7,300,1200
1269.42157,45,7,450,1400
1271.655852,46,7,350,1300
1273.905947,47,7,300,1400
1276.008412,48,7,400,1400
1278.404894,49,8,300,1250
1280.486529,50,8,250,1300
1282.597587,51,8,450,1500
1284.860725,52,8,250,1350
1286.957606,53,8,400,1400
1289.353284,54,9,200,1400
1291.459336,55,9,300,1300
1293.599426,56,9,450,1450
1295.97656,57,9,400,1400
1298.211275,58,9,400,1400
1300.451512,59,9,400,1400
1302.857517,60,9,300,1350
1304.948688,61,9,350,1200
1307.199738,62,9,450,1400
1309.451169,63,9,,
