Time,Times,Borg,L,R
49350.05386,1,0,200,1200
49352.04553,2,0,200,1150
49354.26569,3,0,100,950
49356.2228,4,0,250,1300
49358.28829,5,0,150,1100
49360.38,6,0,200,1150
49362.52746,7,0,150,1100
49364.44376,8,0,250,1250
49366.54526,9,1,200,1200
49368.64385,10,1,300,1350
49370.93792,11,1,200,1300
49373.04509,12,1,200,1250
49374.95781,13,1,200,1300
49377.0513,14,1,300,1400
49379.14729,15,1,200,1300
49381.27054,16,2,200,1400
49383.34122,17,2,100,1200
49385.31407,18,2,150,1300
49387.42324,19,2,200,1300
49389.34353,20,2,230,1400
49391.63743,21,3,100,1130
49393.69235,22,3,50,1200
49395.6329,23,3,100,1150
49397.61089,24,3,50,1200
49399.63135,25,3,100,1300
49401.6413,26,4,100,1200
49403.4783,27,4,150,1200
49405.41484,28,4,100,1150
49407.1904,29,4,200,1330
49409.06047,30,4,200,1300
49410.89618,31,5,250,1350
49412.78188,32,5,150,1350
49414.56918,33,5,300,1430
49416.53148,34,5,270,1400
49418.6053,35,5,200,1400
49420.56878,36,6,150,1350
49422.49622,37,6,130,1350
49424.45877,38,6,200,1300
49426.51552,39,6,100,1250
49428.14663,40,6,400,1450
49430.19062,41,7,130,1250
49432.11203,42,7,100,1200
49434.1,43,7,100,1300
49435.83661,44,7,300,1400
49437.95453,45,7,100,1130
49439.77763,46,8,150,1250
49441.6003,47,8,200,1330
49443.50413,48,8,200,1300
49445.58758,49,8,50,1300
49447.5522,50,8,140,1240
49449.51409,51,9,200,1250
49451.59045,52,9,100,1150
49453.46969,53,9,200,1260
49455.38091,54,9,150,1300
49457.48479,55,9,100,1250
49459.38843,56,9,250,1300
49461.42953,57,9,250,1300
49463.31093,58,9,200,1400
49465.40861,59,9,100,1300
49467.63607,60,9,,
