Time,Times,Borg,L,R
49043.33948,1,0,220,1000
49045.14235,2,0,150,950
49046.96964,3,0,0,800
49048.59236,4,0,200,800
49050.13523,5,0,200,950
49051.9022,6,0,100,1000
49053.70703,7,0,100,900
49055.49517,8,0,180,900
49057.3115,9,1,100,900
49059.11056,10,1,50,850
49060.89175,11,1,50,850
49062.55295,12,1,100,900
49064.19652,13,1,150,1000
49066.00745,14,1,0,850
49067.80895,15,2,0,800
49069.62576,16,2,0,800
49071.1002,17,2,100,900
49072.74775,18,2,120,1000
49074.56401,19,2,200,950
49076.33688,20,2,150,900
49078.46629,21,3,210,900
49080.09476,22,3,200,900
49081.75735,23,3,200,950
49083.38904,24,3,200,1000
49085.20171,25,3,0,900
49086.87418,26,4,100,800
49088.49416,27,4,0,800
49089.98525,28,4,150,900
49091.9403,29,4,0,800
49093.28945,30,4,150,940
49095.39166,31,5,200,950
49097.04195,32,5,180,900
49098.69384,33,5,50,800
49100.20251,34,5,130,840
49101.70695,35,5,180,900
49103.6564,36,6,130,900
49105.32492,37,6,60,880
49106.94873,38,6,30,730
49108.30432,39,6,80,800
49109.95043,40,6,30,800
49111.75168,41,7,200,900
49113.40171,42,7,0,800
49114.89249,43,7,100,900
49116.55164,44,7,70,810
49118.19003,45,7,0,800
49120.01255,46,8,80,800
49121.35265,47,8,30,850
49122.99576,48,8,0,750
49124.49454,49,8,0,750
49125.93905,50,9,230,1000
49127.80988,51,9,0,900
49130.04714,52,9,250,1000
49131.99445,53,9,330,1200
49134.73436,54,9,120,1000
49136.79062,55,9,200,1100
49139.20694,56,9,250,1250
49141.58335,57,9,200,1200
49143.69536,58,9,440,1400
49146.41259,59,9,,
