Time,Times,Borg,L,R
809.421765,1,0,200,1000
811.2261168,2,0,200,950
813.1761936,3,0,100,900
814.9576958,4,0,200,850
816.7703285,5,0,300,1000
818.7420896,6,1,200,850
820.6651446,7,1,250,1000
822.473388,8,1,150,900
824.1093607,9,1,200,870
826.216194,10,1,190,900
827.8679117,11,1,300,1050
829.8287419,12,2,180,880
831.6268659,13,2,200,1050
833.5638368,14,2,100,800
835.3596388,15,2,100,1000
837.167652,16,2,200,1000
839.1182289,17,3,100,850
841.0569653,18,3,50,900
842.8838957,19,3,100,850
844.660249,20,3,200,900
846.4743284,21,3,200,950
848.2659709,22,4,300,1000
850.2029666,23,4,100,1000
852.1811816,24,4,150,900
854.2609931,25,4,100,950
855.9132604,26,4,200,950
857.7183661,27,5,100,1150
859.8319746,28,5,100,900
861.6038761,29,5,100,860
863.4118606,30,5,250,1000
865.3644184,31,5,200,1000
867.1517005,32,5,250,1000
869.1071858,33,6,100,950
871.0880183,34,6,50,950
872.554515,35,6,180,1100
874.3579636,36,6,200,1000
876.3078534,37,6,100,900
878.2893324,38,6,150,1050
880.091667,39,6,150,1100
881.8769326,40,7,200,1000
883.684539,41,7,150,1050
885.6503676,42,7,50,900
887.452369,43,7,100,1050
889.3869343,44,7,50,1000
891.1595112,45,8,100,1000
892.9767317,46,8,100,1050
895.0585092,47,8,50,900
896.7356497,48,8,0,950
898.5106851,49,9,80,1000
900.356566,50,9,100,1100
902.2647563,51,9,100,1100
904.2073195,52,9,0,950
906.0227672,53,9,100,1100
907.967323,54,9,30,1050
909.8042135,55,9,50,1050
911.8849537,56,9,20,1000
913.6305721,57,9,100,1200
915.6180464,58,9,0,1100
917.8606272,59,9,,
