Time,Times,Borg,L,R
28484.96711,1,0,250,1350
28487.52192,2,0,200,1300
28490.05206,3,0,250,1200
28492.30275,4,1,200,1200
28494.71075,5,1,290,1300
28496.99672,6,1,200,1250
28499.35478,7,2,200,1300
28502.04785,8,2,50,1000
28504.156,9,3,250,1250
28506.55093,10,3,200,1150
28508.94759,11,4,200,1150
28511.2064,12,4,250,1250
28513.45408,13,4,350,1420
28515.85636,14,5,300,1400
28518.09748,15,5,450,1550
28520.64312,16,5,300,1470
28523.21243,17,5,200,1300
28525.4371,18,5,300,1450
28527.89551,19,5,350,1500
28530.24754,20,5,300,1500
28532.65433,21,6,400,1550
28535.21604,22,6,300,1450
28537.59203,23,6,400,1630
28540.4423,24,6,300,1450
28542.83998,25,6,400,1600
28545.54483,26,7,300,1530
28548.23534,27,7,200,1400
28550.65552,28,7,350,1550
28553.23474,29,7,450,1700
28555.80941,30,7,450,1700
28558.31895,31,8,500,1600
28560.99551,32,8,400,1550
28563.38917,33,8,400,1600
28565.94903,34,8,500,1800
28568.80876,35,8,350,1650
28580.98806,36,8,600,1950
28584.09582,37,8,250,1350
28586.49553,38,8,450,1650
28589.20669,39,9,400,1550
28592.2166,40,9,300,1600
28594.88967,41,9,250,1500
28597.62037,42,9,400,1550
28600.16386,43,9,300,1590
28602.8432,44,9,400,1850
28605.8808,45,9,500,1750
28608.99587,46,9,400,1650
28611.55655,47,9,500,1750
28614.42151,48,9,450,1700
28617.0895,49,9,450,1800
28619.94611,50,9,450,1900
28622.95369,51,9,400,1850
28626.09881,52,9,200,1600
28628.65796,53,9,600,2050
28631.79511,54,9,,
