Time,Times,Borg,L,R
33024.82621,1,1,490,1400
33027.35451,2,1,390,1300
33030.104,3,1,450,1350
33032.4636,4,2,500,1500
33035.12599,5,2,300,1250
33037.69049,6,2,380,1250
33040.27151,7,3,300,1150
33042.7062,8,3,400,1300
33045.0183,9,4,350,1300
33047.35402,10,4,450,1450
33049.96567,11,4,400,1400
33052.52997,12,4,400,1300
33055.2283,13,5,200,1100
33057.49532,14,5,400,1350
33059.76487,15,5,650,1700
33062.42929,16,5,650,1600
33065.14703,17,5,600,1600
33067.63563,18,6,700,1700
33069.98487,19,6,700,1700
33072.48901,20,6,550,1550
33074.73164,21,6,800,1750
33078.10177,22,6,200,1150
33080.72764,23,7,100,950
33083.21167,24,7,100,1100
33085.73825,25,7,250,1150
33087.78113,26,7,650,1600
33090.32661,27,7,600,1600
33092.76211,28,7,600,1630
33095.27656,29,7,550,1600
33097.86177,30,7,500,1500
33100.08053,31,8,650,1600
33102.62618,32,8,550,1500
33105.21856,33,8,550,1450
33107.77296,34,8,550,1550
33110.80246,35,8,100,1050
33113.46205,36,8,0,1050
33115.86496,37,8,400,1300
33118.10972,38,8,550,1550
33120.47391,39,8,700,1800
33123.22966,40,8,650,1620
33125.7918,41,9,750,1700
33128.44486,42,9,700,1650
33131.04063,43,9,500,1550
33133.37002,44,9,750,1800
33135.96014,45,9,900,1900
33138.77628,46,9,700,1600
33141.63479,47,9,450,1350
33144.33048,48,9,450,1450
33147.18488,49,9,300,1350
33149.47644,50,9,,
