Time,Times,Borg,L,R
1256.218298,1,0,100,750
1257.86464,2,0,200,900
1259.647297,3,0,200,950
1261.463273,4,0,100,750
1263.108933,5,0,130,800
1264.89373,6,0,0,700
1266.407079,7,0,150,850
1268.109482,8,0,100,800
1269.699149,9,0,150,800
1271.378013,10,0,100,800
1273.016385,11,1,0,700
1274.49808,12,1,150,850
1276.17202,13,1,100,800
1277.803318,14,1,100,880
1279.294199,15,1,200,950
1280.946126,16,1,120,800
1282.603632,17,1,0,800
1284.24695,18,2,0,700
1285.763251,19,2,50,700
1287.254145,20,2,50,900
1288.887651,21,2,0,750
1290.392236,22,2,100,800
1292.0394,23,2,0,750
1293.560898,24,2,50,800
1295.264502,25,2,50,850
1296.736283,26,3,110,950
1298.535313,27,3,100,800
1300.143888,28,3,100,900
1301.837059,29,3,50,800
1303.448421,30,3,0,750
1305.106742,31,3,30,800
1306.777087,32,4,0,750
1308.240121,33,4,100,850
1309.934494,34,5,120,850
1311.437543,35,5,100,850
1313.040299,36,5,50,800
1314.546192,37,6,130,850
1316.213344,38,6,0,750
1317.73993,39,6,0,850
1319.25362,40,6,50,950
1320.801774,41,6,150,950
1322.358457,42,7,100,950
1324.001292,43,7,50,900
1325.592328,44,7,150,1000
1327.162743,45,7,200,1000
1328.888362,46,8,50,900
1330.289217,47,8,100,1000
1332.074512,48,8,120,950
1333.754723,49,8,50,900
1335.362404,50,9,200,1150
1337.233129,51,9,100,1000
1339.141707,52,9,120,1150
1340.965793,53,9,100,1150
1342.747269,54,9,100,1000
1344.568323,55,9,70,1150
1346.487189,56,9,130,1150
1348.443839,57,9,70,1000
1350.398609,58,9,50,1150
1352.348391,59,9,200,1450
1354.601105,60,9,,
