Time,Times,Borg,L,R
776.6956929,1,0,200,1000
778.5368409,2,0,200,1000
780.1768027,3,0,200,950
781.8041904,4,0,150,1000
783.483626,5,0,150,1000
785.2782973,6,0,50,1000
787.3680854,7,0,200,900
789.0380961,8,0,100,800
790.8178927,9,0,30,850
792.4619935,10,0,150,1000
794.4289338,11,0,0,850
796.0645,12,0,100,900
797.8583814,13,0,80,900
799.6545909,14,1,0,650
801.1642541,15,1,100,800
802.8251328,16,1,0,800
804.3055904,17,1,50,750
805.9885297,18,1,60,700
807.6082354,19,1,50,750
809.4121127,20,1,50,900
811.2068236,21,1,50,750
812.8821491,22,1,100,750
814.526391,23,2,150,810
816.3053551,24,2,0,650
817.9891704,25,2,50,800
819.6116195,26,2,0,750
821.4120096,27,2,50,700
823.2137363,28,2,50,750
824.70524,29,2,10,750
826.3538212,30,2,20,700
828.0372618,31,3,80,820
829.798297,32,3,30,700
831.310148,33,3,150,800
832.9462601,34,3,30,700
834.6055814,35,3,50,730
836.1149355,36,3,130,800
837.7671303,37,4,150,900
839.4100754,38,4,150,950
841.0012661,39,4,250,930
842.7027903,40,4,50,750
844.3632867,41,4,50,800
846.1494667,42,4,100,800
847.1006515,43,4,690,1450
849.6355785,44,5,100,800
851.1572413,45,5,150,850
853.0584786,46,5,350,1100
855.1608393,47,5,350,1050
857.2434037,48,6,300,1100
859.2232857,49,6,250,1100
861.1544796,50,6,400,1100
863.2858974,51,7,300,1100
865.2132614,52,7,330,1200
867.322179,53,7,360,1200
869.4295639,54,7,350,1300
871.6825056,55,7,200,1050
873.7772662,56,7,150,1000
876.0538175,57,7,330,1050
877.9734531,58,8,400,1350
880.2074999,59,8,350,1300
882.1477694,60,8,2400,3200
886.3914601,61,9,400,1200
888.7582646,62,9,350,1200
891.1650161,63,9,200,1050
893.1210008,64,9,500,1400
895.5107775,65,9,400,1300
897.8205681,66,9,500,1500
900.1489087,67,9,450,1450
902.5760942,68,9,500,1400
904.9923137,69,9,450,1350
907.3951498,70,9,400,1300
909.6211876,71,9,600,1600
912.0059882,72,9,,
