Time,Times,Borg,L,R
356.8992139,1,0,350,1200
358.9463678,2,0,200,1250
361.1860313,3,0,250,1100
363.4779399,4,0,200,1100
365.2403806,5,0,350,1250
367.3433086,6,0,350,1250
369.7978704,7,0,200,1100
371.7168441,8,0,200,1100
373.8076614,9,0,200,1150
375.8860892,10,0,200,1150
377.9929002,11,0,200,1000
380.1041307,12,0,250,1200
382.0579626,13,0,180,1100
384.1560666,14,1,130,1000
386.0962014,15,1,200,1140
388.1846225,16,1,150,1100
390.1471177,17,1,300,1300
392.3866925,18,2,150,1100
394.5130717,19,2,100,1050
396.4517783,20,2,150,1200
398.5443187,21,2,250,1200
400.6416598,22,3,250,1250
402.9016067,23,3,100,1050
404.850698,24,3,300,1230
407.0869767,25,3,150,1150
409.3611043,26,3,150,1150
411.4504784,27,3,190,1200
413.5472647,28,3,150,1150
415.5011425,29,3,450,1400
417.7507574,30,4,250,1200
420.1494902,31,4,150,1150
422.269051,32,4,100,1100
424.3381651,33,4,100,1150
426.6050273,34,4,150,1150
428.7061301,35,5,180,1200
430.8193904,36,5,250,1300
433.0546126,37,5,200,1150
435.1747891,38,5,300,1250
437.3943614,39,5,350,1500
439.7917832,40,6,180,1100
441.8941616,41,6,200,1100
444.16804,42,6,200,1230
446.4069313,43,6,290,1250
448.4935199,44,7,300,1400
450.7703351,45,7,300,1300
453.0183002,46,7,200,1150
455.242394,47,7,250,1200
457.5209076,48,8,300,1350
459.7856081,49,8,400,1300
462.0441929,50,8,450,1350
464.6086413,51,8,200,1200
466.6426637,52,8,300,1230
468.8949166,53,8,280,1300
471.4552466,54,8,350,1430
473.8541274,55,8,300,1300
476.2398385,56,8,350,1280
478.656012,57,8,250,1300
481.0674076,58,9,300,1250
483.4473487,59,9,200,1230
485.8965511,60,9,200,1200
488.4053004,61,9,250,1250
490.6766247,62,9,350,1380
493.0622211,63,9,350,1400
495.6041066,64,9,250,1250
498.0169786,65,9,200,1300
500.3920592,66,9,300,1400
502.9474923,67,9,350,1500
505.5072731,68,9,400,1450
508.0640203,69,9,250,1500
510.6191837,70,9,350,1550
513.2915751,71,9,400,1450
515.8561629,72,9,400,1400
518.3985559,73,9,,
