Time,Times,Borg,L,R
28656.1214,1,0,120,900
28657.80165,2,0,150,950
28659.40856,3,0,150,1000
28661.39954,4,1,0,900
28663.20056,5,2,200,1050
28665.11423,6,2,50,950
28667.37427,7,2,0,950
28669.34976,8,3,250,1100
28671.0889,9,3,300,1150
28673.21991,10,3,300,1050
28675.36373,11,4,100,950
28677.28999,12,5,130,1000
28679.104,13,5,130,950
28680.7604,14,5,200,1050
28682.68016,15,5,0,830
28684.294,16,5,180,1000
28686.40154,17,5,50,900
28688.04561,18,5,130,1000
28689.85712,19,5,150,950
28691.8273,20,5,300,1100
28693.89925,21,6,300,1200
28695.86729,22,6,250,1150
28697.94678,23,6,300,1200
28700.10359,24,6,350,1200
28702.31654,25,6,300,1200
28704.25831,26,6,350,1200
28706.33903,27,6,400,1250
28708.60306,28,6,180,1080
28710.58911,29,6,300,1150
28712.64999,30,6,350,1100
28714.76137,31,6,350,1200
28716.86176,32,6,400,1250
28719.10235,33,6,400,1350
28721.23137,34,7,350,1150
28723.4609,35,7,300,1150
28725.53703,36,7,400,1200
28727.84304,37,7,350,1200
28729.89016,38,7,400,1400
28732.29789,39,8,350,1250
28734.24018,40,8,500,1300
28736.52129,41,8,450,1300
28738.76783,42,8,400,1350
28740.84526,43,8,600,1550
28743.4181,44,9,430,1400
28745.83093,45,9,350,1350
28748.34709,46,9,250,1300
28750.75709,47,9,300,1350
28753.00158,48,9,450,1450
28755.44547,49,9,380,1380
28757.80224,50,9,400,1450
28760.28732,51,9,500,1630
28762.91001,52,9,300,1400
28765.38422,53,9,380,1530
28767.7152,54,9,,
