Time,Times,Borg,L,R
358.8022857,1,0,380,1250
360.8196388,2,0,300,1250
362.9424608,3,0,300,1200
364.837946,4,0,350,1350
367.1131228,5,0,400,1350
369.489378,6,0,200,1200
371.4419021,7,0,250,1250
373.7088787,8,0,200,1150
375.6798177,9,0,300,1200
377.7289635,10,0,300,1250
379.8886974,11,0,290,1250
381.9719756,12,1,200,1200
384.0988653,13,1,200,1250
386.1707635,14,1,250,1270
388.1428252,15,1,450,1500
390.4989922,16,1,100,1150
392.4570726,17,1,350,1350
394.7223635,18,1,200,1200
396.8068558,19,1,170,1250
398.8976989,20,1,100,1150
400.8376733,21,2,200,1100
402.8297736,22,2,300,1250
404.9158672,23,2,300,1300
406.9698607,24,2,250,1300
409.0973658,25,2,250,1190
411.0417436,26,2,250,1200
413.1688844,27,2,200,1230
415.2858945,28,2,150,1200
417.5487011,29,3,200,1250
419.7942366,30,3,200,1250
421.8516925,31,3,250,1250
424.1474507,32,3,300,1300
426.1756101,33,3,250,1250
428.340318,34,3,300,1330
430.768348,35,3,200,1300
432.7921015,36,3,150,1200
434.8923549,37,3,200,1250
437.3428496,38,3,100,1150
439.2148538,39,3,300,1250
441.5040432,40,3,150,1100
443.544465,41,4,350,1330
445.6856334,42,4,290,1300
447.8460345,43,4,290,1250
449.9806924,44,4,300,1300
452.1612356,45,4,300,1300
454.3891851,46,5,150,1100
456.4274947,47,5,250,1250
458.4257322,48,5,300,1350
460.7043383,49,5,200,1200
462.9316983,50,5,100,1100
465.178002,51,6,300,1400
467.4378576,52,6,150,1200
469.7389824,53,6,530,1800
472.0769421,54,7,500,1590
474.6646632,55,7,100,1200
476.8959843,56,7,300,1300
479.2799124,57,7,400,1400
481.706538,58,8,200,1350
483.9539303,59,8,450,1500
486.1937064,60,8,450,1550
488.5941196,61,9,500,1600
491.3052556,62,9,400,1450
493.6750072,63,9,500,1600
496.3837652,64,9,250,1390
498.97988,65,9,300,1550
501.5145806,66,9,200,1280
503.7881084,67,9,550,1700
506.488389,68,9,400,1600
509.4468312,69,9,300,1380
511.7963252,70,9,470,1700
514.2496234,71,9,600,1700
516.9731917,72,9,400,1530
519.7365365,73,9,,
