Time,Times,Borg,L,R
1747.903268,1,0,200,950
1749.862356,2,0,200,1000
1752.105781,3,0,150,1000
1754.06557,4,0,150,1200
1756.148822,5,0,130,1100
1758.115943,6,0,200,1200
1760.061683,7,0,250,1200
1762.183977,8,0,270,1100
1764.109116,9,0,270,1200
1765.934414,10,0,310,1300
1767.727407,11,1,300,1200
1769.672603,12,1,300,1200
1771.755392,13,1,150,950
1773.710845,14,1,300,1300
1775.703754,15,1,300,1300
1777.625806,16,2,300,1250
1779.554564,17,2,300,1300
1781.678328,18,2,100,1100
1783.474028,19,2,250,1100
1785.426464,20,2,250,1300
1787.531956,21,3,250,1200
1789.618313,22,3,110,1150
1791.576431,23,3,150,1150
1793.526466,24,3,150,1200
1795.457416,25,3,150,1200
1797.410738,26,4,150,1100
1799.360829,27,4,120,1180
1801.319216,28,4,200,1250
1803.110216,29,4,330,1350
1805.21632,30,4,200,1200
1807.351024,31,5,180,1150
1808.962458,32,5,300,1300
1810.907617,33,5,200,1150
1812.729498,34,5,250,1300
1814.504847,35,5,400,1400
1816.614444,36,6,80,1080
1818.421758,37,6,110,1200
1820.402575,38,6,100,1100
1822.313305,39,6,130,1200
1824.154206,40,6,250,1250
1825.859239,41,7,250,1300
1827.730193,42,7,200,1200
1829.719277,43,7,100,1100
1831.623154,44,7,200,1200
1833.471507,45,7,50,1150
1835.355282,46,8,0,1000
1837.13119,47,8,100,1050
1838.877043,48,8,150,1150
1840.613106,49,8,100,1200
1842.562256,50,8,100,1100
1844.634466,51,9,200,1200
1846.62523,52,9,100,1130
1848.46151,53,9,50,1050
1850.167812,54,9,200,1150
1851.99003,55,9,300,1200
1853.919435,56,9,300,1250
1856.076349,57,9,150,1150
1857.907824,58,9,150,1150
1860.033796,59,9,100,1200
1862.233866,60,9,0,1100
1864.410454,61,9,0,1200
1866.737082,62,9,,
