Time,Times,Borg,L,R
17579.99333,1,0,0,1200
17581.89832,2,0,550,1650
17584.4864,3,0,200,1350
17586.93476,4,0,200,1300
17589.29248,5,0,200,1350
17591.72319,6,0,200,1400
17594.09031,7,0,300,1500
17596.81003,8,0,300,1350
17599.1862,9,1,400,1450
17601.77102,10,1,350,1350
17604.28563,11,1,250,1450
17606.84121,12,1,250,1450
17609.40079,13,1,300,1350
17611.79336,14,2,400,1450
17614.34992,15,2,150,1300
17616.65033,16,3,200,1400
17619.00005,17,3,200,1300
17621.20275,18,3,500,1700
17624.40142,19,4,250,1300
17626.49393,20,4,300,1400
17628.89646,21,4,200,1300
17631.28519,22,4,300,1400
17633.84789,23,4,150,1300
17636.09487,24,5,350,1600
17638.65221,25,5,350,1550
17641.35598,26,5,280,1500
17643.74751,27,5,300,1400
17646.14679,28,5,300,1400
17648.54478,29,5,250,1450
17651.08991,30,5,150,1300
17653.51988,31,5,200,1350
17655.9226,32,6,300,1350
17658.46384,33,6,200,1350
17660.99355,34,7,600,1700
17663.71246,35,7,200,1450
17666.40058,36,7,200,1380
17668.80571,37,7,100,1350
17670.89784,38,7,250,1350
17673.30809,39,8,300,1300
17675.54784,40,8,300,1450
17678.24641,41,8,300,1300
17680.78716,42,8,250,1450
17683.22788,43,8,400,1550
17685.89924,44,9,150,1250
17688.32185,45,9,200,1300
17690.57162,46,9,450,1450
17692.95061,47,9,300,1400
17695.3781,48,9,300,1450
17697.74218,49,9,380,1550
17700.16036,50,9,400,1450
17702.7259,51,9,200,1400
17705.28691,52,9,300,1300
17707.64072,53,9,250,1250
17709.90313,54,9,300,1400
17712.43877,55,9,300,1400
17714.904,56,9,300,1400
17717.24545,57,9,300,1250
17719.78998,58,9,300,1350
17722.21196,59,9,400,1400
17724.60204,60,9,500,1400
17727.15077,61,9,,
