Time,Times,Borg,L,R
3035.597262,1,0,150,900
3037.734033,2,0,200,900
3039.642688,3,0,100,1000
3041.759239,4,0,50,700
3043.59452,5,0,200,900
3045.511715,6,0,100,900
3047.600187,7,0,100,900
3049.258063,8,0,250,1150
3051.270399,9,1,250,1100
3053.296315,10,1,150,950
3055.292225,11,1,200,1000
3057.353966,12,1,100,900
3059.453943,13,1,200,1000
3061.247851,14,1,250,950
3063.238686,15,2,200,900
3065.33287,16,2,200,950
3067.411474,17,2,150,1050
3069.49039,18,2,100,900
3071.474957,19,2,150,900
3073.413123,20,3,200,1100
3075.364536,21,3,250,1050
3077.630369,22,3,150,1000
3079.433714,23,3,200,1000
3081.49854,24,3,100,980
3083.455298,25,4,150,1050
3085.555293,26,4,100,900
3087.49085,27,4,150,950
3089.598779,28,4,200,900
3091.441296,29,4,200,1000
3093.370195,30,5,150,1000
3095.291967,31,5,200,1000
3097.286573,32,5,220,1100
3099.502736,33,5,150,1000
3101.655917,34,6,200,1000
3103.566695,35,6,180,950
3105.650477,36,6,150,950
3107.618246,37,6,150,900
3109.700028,38,6,100,1000
3111.817722,39,6,100,950
3113.783978,40,6,230,1100
3116.036605,41,7,250,1150
3117.975998,42,7,250,1150
3120.207559,43,7,200,1100
3122.339002,44,7,300,1200
3124.549908,45,7,200,1100
3126.678999,46,8,250,1100
3128.751243,47,8,200,1200
3131.015961,48,8,150,1100
3133.100388,49,8,150,1100
3135.213664,50,9,230,1150
3137.154597,51,9,300,1150
3139.403265,52,9,100,1050
3141.383592,53,9,250,1250
3143.747565,54,9,100,1000
3145.712575,55,9,100,1000
3147.817369,56,9,200,1150
3150.194218,57,9,50,1000
3152.293595,58,9,200,1200
3154.563459,59,9,230,1250
3156.799637,60,9,200,1200
3159.21525,61,9,200,1100
3161.629792,62,9,200,1200
3163.702091,63,9,,
