Time,Times,Borg,L,R
2275.740315,1,0,100,1050
2277.544092,2,0,180,1130
2279.490938,3,0,100,1030
2281.328764,4,0,150,1050
2283.078808,5,0,250,1150
2285.030273,6,1,100,900
2286.837078,7,1,100,950
2288.689541,8,1,50,950
2290.297884,9,1,100,1030
2292.237724,10,1,100,1000
2293.741367,11,2,200,1050
2295.537671,12,2,130,950
2297.185529,13,2,200,1100
2298.980637,14,2,50,1000
2300.624353,15,2,100,1050
2302.44007,16,3,80,960
2304.110948,17,3,100,1050
2305.870153,18,3,100,950
2307.526311,19,3,130,900
2309.293691,20,3,200,1200
2311.18054,21,4,50,1050
2312.943136,22,4,130,1200
2314.574073,23,4,250,1250
2316.485602,24,4,200,1200
2318.185081,25,4,200,1100
2319.988054,26,5,200,1200
2321.946131,27,5,100,1000
2323.691083,28,5,100,1100
2325.426794,29,5,300,1400
2327.276862,30,5,200,1300
2329.196295,31,6,100,1100
2330.99324,32,6,100,1150
2332.879451,33,6,50,1100
2334.737086,34,6,100,1100
2336.573147,35,6,200,1200
2338.606795,36,6,0,850
2340.238173,37,7,200,1250
2342.274187,38,7,200,1200
2344.16477,39,7,200,1200
2346.171224,40,7,200,1200
2348.09738,41,7,100,1200
2350.046919,42,8,200,1250
2351.954116,43,8,230,1250
2354.055389,44,8,200,1400
2356.141523,45,8,150,1400
2358.244329,46,8,150,1300
2360.171715,47,9,300,1300
2362.58196,48,9,200,1150
2364.540191,49,9,50,1250
2366.939036,50,9,50,1050
2368.895488,51,9,50,1100
2370.844614,52,9,210,1220
2373.228434,53,9,100,1200
2375.272229,54,9,200,1400
2377.502375,55,9,60,1200
2379.795703,56,9,80,1250
2381.985073,57,9,,
