Time,Times,Borg,L,R
6376.894906,1,0,250,1250
6379.134332,2,0,150,1050
6381.399583,3,0,300,1150
6383.509683,4,0,200,1150
6385.769153,5,1,200,1100
6387.999614,6,1,150,1100
6389.94228,7,1,300,1200
6392.222609,8,1,200,1200
6394.451122,9,1,300,1350
6396.747492,10,2,100,1050
6398.638502,11,2,300,1200
6400.883781,12,2,150,1150
6402.993622,13,3,300,1300
6405.39981,14,3,150,1090
6407.509284,15,3,200,1150
6409.903281,16,3,100,1100
6412.020828,17,3,300,1300
6414.3837,18,3,300,1150
6416.537965,19,4,300,1390
6418.887964,20,4,100,1050
6420.995157,21,5,300,1180
6423.238572,22,5,400,1490
6425.678832,23,5,400,1400
6427.893408,24,6,300,1300
6430.139054,25,6,400,1500
6432.545367,26,6,500,1500
6435.093213,27,7,500,1500
6437.64613,28,7,350,1400
6439.912406,29,7,500,1550
6442.292674,30,7,450,1500
6444.836666,31,8,450,1400
6447.262641,32,8,550,1550
6449.792276,33,8,500,1500
6452.552778,34,8,450,1500
6455.195081,35,8,400,1500
6457.458541,36,9,700,1900
6460.779493,37,9,200,1300
6463.310775,38,9,400,1600
6466.291754,39,9,400,1550
6468.717059,40,9,450,1650
6471.538535,41,9,400,1600
6474.398973,42,9,400,1750
6476.962058,43,9,650,1900
6480.267975,44,9,400,1890
6483.089579,45,9,550,1850
6485.953086,46,9,650,2050
6489.108491,47,9,550,2000
6492.234528,48,9,600,1900
6495.413629,49,9,450,1730
6498.256305,50,9,700,2350
6501.795389,51,9,700,2050
6505.014008,52,9,700,1850
6508.067447,53,9,,
