Time,Times,Borg,L,R
319.9848153,1,0,200,900
321.9401589,2,0,150,800
323.9131743,3,0,100,800
325.6962403,4,0,200,900
327.635496,5,0,150,850
329.4828157,6,0,100,1050
331.2705961,7,0,300,1050
333.3260247,8,0,200,900
335.1255437,9,1,250,1050
337.0954645,10,1,200,1000
339.027299,11,1,200,900
341.1493552,12,1,150,950
342.9285882,13,1,250,1100
344.8983635,14,2,250,950
346.7197559,15,2,250,1100
348.6393958,16,2,200,1000
350.78284,17,2,200,1000
352.5284938,18,2,250,950
354.3335284,19,2,300,1100
356.3278451,20,3,300,1000
358.3765016,21,3,200,900
360.3324873,22,3,200,1000
362.1774215,23,3,200,900
363.9423595,24,3,300,1000
365.8675684,25,4,250,1100
367.8379601,26,4,200,1050
369.935609,27,4,200,1000
371.738864,28,4,150,950
373.6715179,29,4,100,900
375.6406585,30,4,250,1500
377.608955,31,5,200,1000
379.5378192,32,5,250,1050
381.4694595,33,5,280,1000
383.4665829,34,5,250,1000
385.3798755,35,5,180,890
387.3545469,36,5,150,900
389.2780002,37,5,50,800
391.0871278,38,5,200,950
393.0501314,39,6,200,1100
395.1319432,40,6,130,850
396.9225572,41,6,200,950
399.0385253,42,6,190,1000
400.8856179,43,6,200,1100
402.843802,44,6,250,1000
404.599776,45,7,400,1250
406.7047129,46,7,250,1050
408.676565,47,7,300,1050
410.7938402,48,7,250,1050
412.5532069,49,7,300,1100
414.4783998,50,7,350,1250
416.5505374,51,7,500,1300
418.3996892,52,8,430,1200
420.5063594,53,8,380,1150
422.4719701,54,8,400,1200
424.528566,55,8,400,1250
426.686777,56,8,400,1150
428.607074,57,8,590,1300
430.7199543,58,9,500,1250
432.8422941,59,9,450,1250
434.7699946,60,9,600,1450
437.196699,61,9,450,1250
439.0965131,62,9,460,1350
441.2196269,63,9,400,1300
443.3437479,64,9,400,1300
445.4183338,65,9,450,1400
447.5154577,66,9,450,1400
449.8011202,67,9,,
