Time,Times,Borg,L,R
27840.66235,1,0,50,1000
27842.43734,2,0,200,1150
27844.44493,3,0,250,1150
27846.38964,4,0,250,1190
27848.28657,5,0,250,1180
27850.40614,6,0,200,1100
27852.51181,7,0,150,1050
27854.33833,8,0,200,1050
27856.09616,9,0,250,1150
27858.04656,10,0,250,1180
27860.00267,11,0,250,1200
27861.97143,12,0,200,1150
27863.92087,13,0,350,1220
27865.85838,14,1,400,1350
27867.94739,15,1,200,1100
27869.9167,16,1,300,1140
27871.84976,17,1,250,1150
27873.65283,18,1,300,1200
27875.90342,19,1,100,1000
27877.54046,20,1,280,1180
27879.51693,21,2,350,1300
27881.59714,22,2,300,1250
27883.72346,23,2,350,1350
27885.81092,24,2,450,1300
27887.8917,25,3,250,1240
27889.85543,26,3,350,1350
27891.9404,27,3,440,1320
27893.97656,28,3,600,1600
27896.64322,29,4,100,1050
27898.55551,30,4,180,1120
27900.50964,31,4,450,1500
27902.73212,32,5,400,1400
27905.14183,33,5,400,1300
27907.27067,34,5,400,1400
27909.49986,35,6,400,1350
27911.59309,36,6,450,1350
27913.87455,37,6,400,1400
27916.11152,38,6,300,1300
27918.33007,39,6,400,1350
27920.62395,40,6,450,1380
27923.00417,41,6,300,1300
27925.40736,42,7,300,1380
27927.66035,43,7,550,1550
27930.36009,44,7,300,1250
27932.66916,45,8,530,1550
27935.01285,46,8,550,1550
27937.43353,47,8,550,1550
27939.82123,48,8,550,1650
27942.54364,49,8,490,1500
27945.05954,50,9,450,1700
27947.89117,51,9,500,1650
27950.44908,52,9,450,1620
27953.29917,53,9,300,1400
27955.8488,54,9,350,1500
27958.40339,55,9,400,1700
27961.56009,56,9,,
