Time,Times,Borg,L,R
34062.99384,1,1,450,1400
34065.41869,2,1,600,1550
34067.61894,3,1,600,1450
34070.05679,4,2,500,1350
34072.42914,5,3,500,1450
34074.80378,6,3,350,1250
34077.15211,7,3,600,1550
34079.49757,8,4,600,1500
34081.95156,9,4,600,1500
34084.27076,10,4,650,1550
34086.90189,11,4,600,1550
34089.37457,12,4,500,1500
34091.93515,13,4,550,1400
34094.16244,14,5,650,1650
34096.88514,15,5,550,1600
34099.44866,16,5,580,1580
34101.88572,17,6,600,1550
34104.51917,18,6,400,1500
34107.2894,19,6,550,1550
34109.61789,20,7,700,1600
34112.04879,21,7,790,1750
34114.45873,22,7,900,1900
34117.41041,23,7,500,1500
34119.98766,24,8,700,1750
34122.72546,25,8,650,1700
34125.38664,26,8,600,1800
34127.93147,27,8,700,1900
34130.61553,28,8,800,1850
34133.35081,29,9,700,1800
34136.18994,30,9,650,1650
34138.89276,31,9,550,1550
34141.50565,32,9,550,1700
34144.15279,33,9,750,1900
34146.83111,34,9,700,1700
34149.42693,35,9,700,1900
34152.21048,36,9,700,1850
34155.25703,37,9,550,1750
34157.7917,38,9,750,1750
34161.39545,39,9,100,1200
34163.85458,40,9,550,1750
34166.46951,41,9,750,1950
34169.51538,42,9,750,2000
34172.32626,43,9,700,2050
34175.66761,44,9,650,1800
34178.47861,45,9,700,2000
34181.77303,46,9,700,2050
34184.91025,47,9,550,1850
34187.61572,48,9,1000,2200
34190.62568,49,9,950,2300
34193.97992,50,9,800,2150
34197.37098,51,9,,
