Time,Times,Borg,L,R
48136.31248,1,0,800,1550
48138.57309,2,0,150,1000
48140.3537,3,0,100,730
48141.87811,4,0,180,850
48143.53405,5,0,100,800
48145.01532,6,0,200,800
48146.66473,7,0,100,800
48148.3142,8,0,100,870
48149.97794,9,0,100,880
48151.68842,10,0,200,950
48153.26787,11,1,0,750
48154.628,12,1,150,900
48156.27073,13,1,50,750
48157.75959,14,1,100,950
48159.4356,15,1,200,1000
48161.23829,16,1,100,900
48162.56144,17,1,200,1000
48164.21755,18,1,200,1000
48165.87215,19,2,50,850
48167.36738,20,2,50,900
48168.89094,21,2,200,1000
48170.51479,22,2,150,950
48172.1691,23,2,150,1000
48173.83661,24,3,100,900
48175.47807,25,3,0,850
48177.10706,26,3,0,800
48178.77306,27,3,0,750
48180.26119,28,3,100,850
48181.91862,29,4,0,750
48183.43348,30,4,0,800
48184.93898,31,4,100,900
48186.58885,32,4,0,800
48188.21057,33,4,0,800
48189.71548,34,5,50,750
48191.3954,35,5,0,800
48193.03239,36,5,0,750
48194.70052,37,5,70,880
48196.01653,38,5,300,1100
48197.83053,39,6,0,730
48199.2971,40,6,200,950
48200.91226,41,6,180,950
48202.61133,42,6,0,800
48204.29183,43,6,0,830
48206.10183,44,7,50,850
48207.58341,45,7,30,900
48209.23842,46,7,100,900
48210.86949,47,7,200,1100
48212.04034,48,7,650,1600
48214.35914,49,8,50,950
48216.1274,50,8,0,900
48217.91396,51,8,0,1000
48219.74415,52,8,0,1050
48221.82226,53,9,0,900
48223.69932,54,9,0,1000
48225.58292,55,9,100,1150
48227.40603,56,9,150,1300
48229.46647,57,9,200,1230
48231.58548,58,9,,
